project_id,project_location_id,country,latitude,longitude,start_date,funder,ad_sector_codes,sector_group_name
31023,31023_11550981,Kenya,0.89333,36.30833,2013-01-01,CH,230,Economic Infrastructure & Services
31023,31023_11550982,Kenya,0.19306,36.07,2013-01-01,CH,230,Economic Infrastructure & Services
23142,23142_158684,Tanzania,-2.63861,30.46778,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_150387,Tanzania,-2.385,30.78583,2009-07-24,CH,220,Economic Infrastructure & Services
23142,23142_161154,Tanzania,-2.63194,31.30889,2009-07-24,CH,220,Economic Infrastructure & Services
30886,30886_339666,Ethiopia,8.75225,38.97846,2013-01-01,CH,210,Economic Infrastructure & Services
30886,30886_330186,Ethiopia,8.55,39.26667,2013-01-01,CH,210,Economic Infrastructure & Services
30926,30926_2232239,Cameroon,3.8,10.13333,2012-01-01,CH,210,Economic Infrastructure & Services
30926,30926_2228267,Cameroon,3.81667,11.06667,2012-01-01,CH,210,Economic Infrastructure & Services
30954,30954_2294789,Ghana,5.22148,-0.80603,2012-01-01,CH,110,Social Infrastructure & Services
30954,30954_2305075,Ghana,5.20849,-0.87989,2012-01-01,CH,110,Social Infrastructure & Services
30990,30990_1058532,Madagascar,-18.94948,48.23007,2013-10-23,CH,150,Social Infrastructure & Services
31055,31055_11610095,Kenya,-0.00088,34.73961,2003-01-01,CH,320,Production
31055,31055_11610333,Kenya,0.0833,34.85,2003-01-01,CH,320,Production
31055,31055_11610512,Kenya,0.03816,34.8278,2003-01-01,CH,320,Production
31055,31055_11610515,Kenya,0.01772,34.76074,2003-01-01,CH,320,Production
31084,31084_185991,Kenya,-1.19417,36.65506,2009-04-04,CH,210,Economic Infrastructure & Services
31084,31084_197297,Kenya,-1.23333,36.68333,2009-04-04,CH,210,Economic Infrastructure & Services
31099,31099_932297,Lesotho,-29.4002,27.76366,2012-01-01,CH,230,Economic Infrastructure & Services
31099,31099_932248,Lesotho,-29.00699,28.21328,2012-01-01,CH,230,Economic Infrastructure & Services
31099,31099_932341,Lesotho,-30.2731,27.87076,2012-01-01,CH,230,Economic Infrastructure & Services
31253,31253_2229761,Cameroon,2.93725,9.90765,2012-01-01,CH,220,Economic Infrastructure & Services
